ts,open,high,low,close,volume,oi
2026-07-15 09:15:00+05:30,24085.85,24115.1,24069.05,24100.35,0,0
2026-07-15 09:16:00+05:30,24100.8,24113.2,24098.3,24105.4,0,0
2026-07-15 09:17:00+05:30,24105.7,24141.7,24105.5,24140.9,0,0
2026-07-15 09:18:00+05:30,24140.6,24144.85,24136.05,24141.6,0,0
2026-07-15 09:19:00+05:30,24140.3,24148.35,24137.3,24147.35,0,0
2026-07-15 09:20:00+05:30,24147.65,24165.2,24147.65,24159.55,0,0
2026-07-15 09:21:00+05:30,24159.55,24173.5,24155.85,24172.45,0,0
2026-07-15 09:22:00+05:30,24173.0,24179.3,24168.75,24178.4,0,0
2026-07-15 09:23:00+05:30,24178.55,24187.05,24174.15,24186.35,0,0
2026-07-15 09:24:00+05:30,24185.75,24193.4,24185.75,24190.6,0,0
2026-07-15 09:25:00+05:30,24190.95,24199.25,24189.5,24198.6,0,0
2026-07-15 09:26:00+05:30,24199.3,24208.55,24199.3,24206.05,0,0
2026-07-15 09:27:00+05:30,24203.7,24206.25,24200.4,24201.85,0,0
2026-07-15 09:28:00+05:30,24201.4,24211.75,24200.95,24201.2,0,0
2026-07-15 09:29:00+05:30,24200.45,24201.55,24192.95,24195.7,0,0
2026-07-15 09:30:00+05:30,24196.5,24212.15,24196.05,24208.8,0,0
2026-07-15 09:31:00+05:30,24208.85,24218.15,24205.25,24211.5,0,0
2026-07-15 09:32:00+05:30,24210.65,24214.35,24202.25,24204.3,0,0
2026-07-15 09:33:00+05:30,24204.15,24211.0,24203.6,24207.25,0,0
2026-07-15 09:34:00+05:30,24206.6,24209.55,24197.55,24199.8,0,0
2026-07-15 09:35:00+05:30,24200.25,24206.15,24198.5,24200.2,0,0
2026-07-15 09:36:00+05:30,24199.9,24206.4,24197.9,24205.75,0,0
2026-07-15 09:37:00+05:30,24205.55,24207.7,24200.6,24204.6,0,0
2026-07-15 09:38:00+05:30,24204.35,24206.65,24200.7,24204.25,0,0
2026-07-15 09:39:00+05:30,24202.4,24205.3,24192.9,24195.5,0,0
2026-07-15 09:40:00+05:30,24196.75,24201.15,24194.4,24197.65,0,0
2026-07-15 09:41:00+05:30,24196.75,24200.85,24195.65,24198.1,0,0
2026-07-15 09:42:00+05:30,24197.6,24199.3,24194.2,24195.7,0,0
2026-07-15 09:43:00+05:30,24195.55,24197.3,24187.7,24192.9,0,0
2026-07-15 09:44:00+05:30,24193.35,24196.0,24191.65,24195.1,0,0
2026-07-15 09:45:00+05:30,24195.55,24202.7,24195.55,24202.05,0,0
2026-07-15 09:46:00+05:30,24202.35,24207.4,24201.15,24201.15,0,0
2026-07-15 09:47:00+05:30,24201.05,24204.2,24198.65,24198.9,0,0
2026-07-15 09:48:00+05:30,24199.0,24205.2,24199.0,24201.7,0,0
2026-07-15 09:49:00+05:30,24201.25,24202.45,24191.85,24191.85,0,0
2026-07-15 09:50:00+05:30,24192.1,24198.0,24191.55,24196.1,0,0
2026-07-15 09:51:00+05:30,24195.85,24203.8,24195.8,24203.8,0,0
2026-07-15 09:52:00+05:30,24203.7,24205.9,24194.6,24194.6,0,0
2026-07-15 09:53:00+05:30,24194.6,24199.65,24194.6,24197.8,0,0
2026-07-15 09:54:00+05:30,24197.95,24202.5,24195.25,24199.2,0,0
2026-07-15 09:55:00+05:30,24199.05,24203.3,24197.9,24202.2,0,0
2026-07-15 09:56:00+05:30,24202.4,24205.05,24196.0,24197.1,0,0
2026-07-15 09:57:00+05:30,24197.35,24198.3,24186.95,24190.25,0,0
2026-07-15 09:58:00+05:30,24189.4,24192.8,24187.35,24190.15,0,0
2026-07-15 09:59:00+05:30,24190.35,24192.4,24184.1,24184.95,0,0
2026-07-15 10:00:00+05:30,24185.0,24187.85,24178.4,24179.15,0,0
2026-07-15 10:01:00+05:30,24179.45,24182.3,24173.5,24175.65,0,0
2026-07-15 10:02:00+05:30,24176.55,24183.4,24173.95,24183.4,0,0
2026-07-15 10:03:00+05:30,24183.95,24190.1,24183.2,24189.75,0,0
2026-07-15 10:04:00+05:30,24189.9,24193.15,24186.75,24187.3,0,0
2026-07-15 10:05:00+05:30,24187.75,24189.25,24185.9,24186.25,0,0
2026-07-15 10:06:00+05:30,24186.55,24191.4,24185.4,24188.45,0,0
2026-07-15 10:07:00+05:30,24188.9,24195.25,24187.85,24193.45,0,0
2026-07-15 10:08:00+05:30,24193.7,24200.4,24192.65,24198.6,0,0
2026-07-15 10:09:00+05:30,24198.85,24200.9,24194.1,24195.1,0,0
2026-07-15 10:10:00+05:30,24195.1,24196.65,24192.4,24193.3,0,0
2026-07-15 10:11:00+05:30,24192.95,24194.3,24188.35,24192.8,0,0
2026-07-15 10:12:00+05:30,24192.55,24201.8,24192.35,24199.0,0,0
2026-07-15 10:13:00+05:30,24198.75,24200.9,24194.7,24197.15,0,0
2026-07-15 10:14:00+05:30,24197.15,24203.55,24196.6,24202.3,0,0
2026-07-15 10:15:00+05:30,24202.2,24205.7,24201.15,24202.5,0,0
2026-07-15 10:16:00+05:30,24202.5,24207.4,24200.4,24205.4,0,0
2026-07-15 10:17:00+05:30,24207.35,24215.75,24204.5,24215.0,0,0
2026-07-15 10:18:00+05:30,24214.75,24216.25,24211.4,24216.25,0,0
2026-07-15 10:19:00+05:30,24215.5,24220.35,24212.7,24213.1,0,0
2026-07-15 10:20:00+05:30,24210.6,24215.2,24209.85,24211.9,0,0
2026-07-15 10:21:00+05:30,24211.45,24213.15,24208.05,24209.55,0,0
2026-07-15 10:22:00+05:30,24209.35,24216.75,24208.2,24214.4,0,0
2026-07-15 10:23:00+05:30,24214.95,24218.05,24213.65,24216.05,0,0
